,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
32497,2022-08-05,TEND3,TENDA,4.31,6.05,4.16,5.92,14326400,-2147483648,37.35498839907194,31.239669421487605
104549,2022-08-17,BMKS3,BIC MONARK,250.0,350.0,250.0,337.95,250,7069000,35.17999999999999,28.57142857142857
192012,2022-08-31,OSXB3,OSX BRASIL,4.83,6.3,4.83,6.3,153000,84141200,30.434782608695656,23.33333333333333
31766,2022-08-05,A2MC34,AMC ENTERT H,14.81,19.53,14.73,19.03,8130,14418670,28.49426063470628,24.577572964669734
125058,2022-08-19,NORD3,NORDON MET,6.15,8.0,6.15,7.88,2900,2166300,28.130081300813004,23.124999999999996
85437,2022-08-15,TEND3,TENDA,5.12,6.47,5.12,6.44,5986700,-2147483648,25.78125,20.865533230293654
31829,2022-08-05,B2YN34,BEYOND MEAT,8.08,10.07,7.98,9.92,5370,5189430,22.77227722772277,20.75471698113207
144829,2022-08-23,PATI3,PANATLANTICA,48.0,57.5,48.0,57.5,200,1055000,19.791666666666675,16.52173913043479
84749,2022-08-15,AMER3,AMERICANAS,12.82,15.49,12.67,15.33,40764800,-2147483648,19.57878315132604,18.205293737895424
76184,2022-08-12,MGLU3,MAGAZ LUIZA,3.01,3.62,2.95,3.58,351712300,-2147483648,18.93687707641196,18.508287292817684
67128,2022-08-11,R2BL34,ROBLOX CORP,21.51,27.4,21.51,25.5,13890,36863720,18.549511854951174,21.49635036496349
85488,2022-08-15,VIIA3,VIA,3.09,3.69,3.05,3.64,120783700,-2147483648,17.79935275080906,17.344173441734423
15112,2022-08-03,C2OI34,COINBASEGLOB,14.58,17.16,14.58,17.16,236520,396819790,17.695473251028805,15.034965034965031
85205,2022-08-15,MDIA3,M.DIASBRANCO,34.59,41.3,34.56,40.66,8670200,-2147483648,17.548424400115614,16.319612590799014
23295,2022-08-04,PAGS34,PAGSEGURO,13.2,15.51,13.2,15.51,60640,90876940,17.500000000000004,14.893617021276595
84928,2022-08-15,CASH3,MELIUZ,1.31,1.55,1.31,1.53,84804200,-2147483648,16.793893129771,15.48387096774193
85103,2022-08-15,GUAR3,GUARARAPES,8.58,10.08,8.36,9.97,2985600,-2147483648,16.200466200466202,17.06349206349207
176266,2022-08-29,P1DD34,PINDUODUO IN,29.24,36.25,29.24,33.89,26840,90193910,15.902872777017784,19.337931034482757
58200,2022-08-10,SNSY5,SANSUY,3.02,3.5,3.0,3.5,20600,6593700,15.89403973509933,14.28571428571429
144290,2022-08-23,AMER3,AMERICANAS,15.97,18.8,15.55,18.5,61463900,-2147483648,15.842204132748904,17.28723404255319
