,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
114388,2022-08-18,BMKS3,BIC MONARK,350.0,350.0,268.0,273.24,310,9143450,-21.93142857142857,23.42857142857143
183998,2022-08-30,N1OW34,SERVICENOW,44.92,44.92,35.89,35.89,110,497400,-20.10240427426536,20.10240427426536
136963,2022-08-22,PATI3,PANATLANTICA,58.5,58.5,48.0,48.0,800,3945000,-17.948717948717952,17.948717948717952
360,2022-08-01,EQMA3B,EQTLMARANHAO,36.01,37.0,29.64,29.64,37700,115929600,-17.689530685920573,19.891891891891888
95407,2022-08-16,WEST3,WESTWING,2.69,2.69,2.22,2.25,1740700,401498800,-16.356877323420072,17.472118959107796
75691,2022-08-12,AERI3,AERIS,3.35,3.35,2.79,2.81,10310600,-2147483648,-16.119402985074625,16.716417910447767
144260,2022-08-23,A2MC34,AMC ENTERT H,9.69,9.69,8.08,8.13,32750,27935820,-16.099071207430327,16.615067079463365
160735,2022-08-25,SNSY5,SANSUY,4.82,4.82,4.08,4.08,15700,6703300,-15.352697095435685,15.352697095435685
58017,2022-08-10,MODL11,MODALMAIS,9.89,9.98,8.45,8.49,2131300,1879522100,-14.155712841253798,15.3306613226453
168483,2022-08-26,PLAS3,PLASCAR PART,11.0,11.0,9.22,9.49,5500,5411600,-13.727272727272721,16.181818181818176
66720,2022-08-11,C2OI34,COINBASEGLOB,20.15,20.15,16.98,17.44,153700,284717750,-13.449131513647627,15.73200992555831
125204,2022-08-19,STOC31,STONE CO,53.06,53.19,42.96,46.0,106360,498186960,-13.305691669807773,19.23293852227862
58015,2022-08-10,MODL3,MODALMAIS,3.79,3.79,3.29,3.29,185200,62517900,-13.192612137203163,13.192612137203163
23071,2022-08-04,FMXB34,FEMSA,362.88,362.88,315.8,315.8,20,797640,-12.97398589065255,12.97398589065255
136870,2022-08-22,M1LC34,MELCO RESORT,14.54,14.54,12.49,12.67,350,470830,-12.861072902338378,14.099037138927095
67079,2022-08-11,OSXB3,OSX BRASIL,6.38,6.38,5.49,5.58,29500,16766700,-12.539184952978054,13.94984326018809
31786,2022-08-05,ALPA4,ALPARGATAS,22.11,22.18,18.96,19.35,16378900,-2147483648,-12.483039348710978,14.517583408476098
58320,2022-08-10,XPBR31,XP INC,117.98,117.98,102.82,103.44,2607480,-2147483648,-12.324122732666554,12.849635531446014
125186,2022-08-19,SGPS3,SPRINGS,4.22,4.22,3.7,3.7,113800,43787600,-12.32227488151658,12.32227488151658
66800,2022-08-11,DEXP3,DEXXOS PAR,8.09,8.1,7.08,7.1,1560700,1153759000,-12.237330037082817,12.592592592592588
