,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
7,2022-08-01,A1LB34,ALBEMARLE CO,1247.17,1247.17,1247.17,1247.17,100,13095280,0.0,-0.0
20,2022-08-01,A1VB34,AVALONBAY CO,271.2,271.2,271.2,271.2,410,11119200,0.0,-0.0
25,2022-08-01,A2RR34,ARROWHEAD PH,27.24,27.24,27.24,27.24,10,49030,0.0,-0.0
35,2022-08-01,ACNB34,ACCENTURE,1572.1,1572.1,1572.1,1572.1,10,1572100,0.0,-0.0
76,2022-08-01,B1CS34,BARCLAYS PLC,41.54,41.54,41.54,41.54,340,1412360,0.0,-0.0
84,2022-08-01,B2UR34,BURLINGTONST,25.83,25.83,25.83,25.83,10,25830,0.0,-0.0
92,2022-08-01,BAUH4,EXCELSIOR,76.0,76.0,76.0,76.0,100,760000,0.0,-0.0
99,2022-08-01,BBYY34,BEST BUY,397.66,397.66,397.66,397.66,660,26484150,0.0,-0.0
106,2022-08-01,BCWV39,MSCIGLMIVOLF,50.6,50.6,50.6,50.6,10,50600,0.0,-0.0
114,2022-08-01,BEES4,BANESTES,5.26,5.43,5.26,5.26,4700,2487900,0.0,3.130755064456725
123,2022-08-01,BEWC39,MSCI CANADA,45.36,45.36,45.36,45.36,16350,74172670,0.0,-0.0
125,2022-08-01,BEWH39,MSCIHONGKONG,36.36,36.36,36.36,36.36,20,72720,0.0,-0.0
130,2022-08-01,BEWZ39,MSCI BRAZIL,49.54,49.54,49.54,49.54,49100,243261210,0.0,-0.0
131,2022-08-01,BFDL39,FTMOR DV LEA,47.15,47.15,47.15,47.15,20,99010,0.0,-0.0
133,2022-08-01,BGIP3,BANESE,30.99,30.99,30.99,30.99,100,309900,0.0,-0.0
145,2022-08-01,BIEV39,EUROPE ETF,46.38,46.38,46.38,46.38,10,46380,0.0,-0.0
151,2022-08-01,BILF39,LATIN AMER40,40.09,40.09,40.09,40.09,69060,276885590,0.0,-0.0
157,2022-08-01,BIWF39,RUSSEL1000GR,50.72,50.72,50.72,50.72,3540,18000520,0.0,-0.0
172,2022-08-01,BLUT4,B TECH EQI,0.47,0.48,0.46,0.47,270900,12775800,0.0,4.1666666666666625
174,2022-08-01,BMGB4,BANCO BMG,2.49,2.57,2.46,2.49,1034300,259868100,0.0,4.280155642023342
201,2022-08-01,BRKM6,BRASKEM,21.01,21.01,21.01,21.01,300,630300,0.0,-0.0
208,2022-08-01,BSLI3,BRB BANCO,21.0,21.0,21.0,21.0,100,210000,0.0,-0.0
216,2022-08-01,BVLU39,MSCIUSVALUEF,49.77,49.77,49.77,49.77,19630,97698510,0.0,-0.0
219,2022-08-01,C1BS34,PARAMOUNT GL,124.61,124.61,124.61,124.61,30,398750,0.0,-0.0
229,2022-08-01,C1TV34,CORTEVA INC,72.76,72.76,72.76,72.76,590,4329220,0.0,-0.0
244,2022-08-01,CEDO4,CEDRO,4.37,4.37,4.37,4.37,1000,437000,0.0,-0.0
274,2022-08-01,CRIV3,ALFA FINANC,3.0,3.0,3.0,3.0,100,30000,0.0,-0.0
275,2022-08-01,CRIV4,ALFA FINANC,4.6,4.6,4.6,4.6,100,46000,0.0,-0.0
279,2022-08-01,CSED3,CRUZEIRO EDU,3.65,3.68,3.54,3.65,776500,281201000,0.0,3.8043478260869623
295,2022-08-01,D1EL34,DELL TECHNOL,235.06,235.06,235.06,235.06,400,9402400,0.0,-0.0
313,2022-08-01,DEXP4,DEXXOS PAR,7.31,7.31,7.31,7.31,100,73100,0.0,-0.0
