,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
26879,2022-07-14,RCSL3,RECRUSUL,3.85,3.91,3.0,3.02,2640100,902969500,-21.558441558441555,23.273657289002557
12485,2022-07-25,ALPK3,ESTAPAR,3.87,3.97,3.07,3.12,832800,290313900,-19.379844961240313,22.67002518891689
20349,2022-07-20,P2EG34,PEGASYSTEMS,27.2,27.2,22.51,22.51,30,68560,-17.242647058823522,17.242647058823522
25859,2022-07-26,C2OI34,COINBASEGLOB,13.59,13.59,11.35,11.38,36160,43787030,-16.26195732155996,16.482707873436354
19720,2022-07-20,M1UF34,MITSUBISHI U,32.98,32.98,28.43,28.5,3840,11255150,-13.583990297149784,13.796240145542749
12834,2022-07-25,B2YN34,BEYOND MEAT,10.08,10.08,8.69,8.72,490,447460,-13.492063492063489,13.789682539682547
19861,2022-07-20,MNDL3,MUNDIAL,27.79,27.79,24.17,24.17,2500,6139800,-13.026268441885557,13.026268441885557
26671,2022-07-14,PTNT3,PETTENATI,11.64,11.65,10.14,10.14,7200,7591200,-12.886597938144329,12.96137339055794
29452,2022-07-29,SNSY5,SANSUY,3.38,3.38,2.95,2.95,3900,1190500,-12.721893491124248,12.721893491124248
9657,2022-07-04,SNSY3,SANSUY,6.9,6.9,5.9,6.03,800,485700,-12.608695652173918,14.492753623188403
20050,2022-07-25,N1EM34,NEWMONT GOLD,271.88,271.88,237.66,237.7,1320,33182570,-12.571722818890684,12.58643519199647
9019,2022-07-11,T1AL34,TAL EDUCATIO,2.55,2.55,2.22,2.24,47720,10929930,-12.15686274509803,12.941176470588223
1092,2022-07-01,CALI3,CONST A LIND,6.85,6.85,6.02,6.02,600,387600,-12.116788321167881,12.116788321167881
7596,2022-07-11,ORCL34,ORACLE,72.67,72.67,63.66,63.96,1750,11284880,-11.985688729874777,12.398513829640844
594,2022-07-15,CAML3,CAMIL,10.96,10.98,9.56,9.67,3966400,-2147483648,-11.770072992700742,12.932604735883423
27649,2022-07-14,TEND3,TENDA,5.16,5.3,4.51,4.56,5118700,-2147483648,-11.627906976744196,14.905660377358487
9962,2022-07-11,WUNI34,WESTERNUNION,98.5,98.5,87.09,87.48,20,203110,-11.187817258883248,11.583756345177665
18566,2022-07-25,G1SK34,GSK PLC,46.23,46.53,41.0,41.1,170,782600,-11.096690460739767,11.88480550182678
32649,2022-07-28,BIXJ39,GLOBALHEALTH,57.3,57.3,51.0,51.0,120730,616035430,-10.994764397905755,10.994764397905755
10544,2022-07-12,AZEV3,AZEVEDO,3.37,3.41,2.99,3.0,397400,120814500,-10.979228486646885,12.316715542521994
