,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro
1,2022-07-01,A1BB34,ABB LTD,35.68,35.68,35.68,35.68,0,7130
4,2022-07-01,A1FL34,AFLAC INC,295.51,295.51,295.51,295.51,0,59100
5,2022-07-01,A1GN34,ALLEGION PLC,261.04,261.04,261.04,261.04,0,52200
7,2022-07-01,A1LL34,BREAD FINAN,49.34,49.34,49.34,49.34,0,9860
14,2022-07-01,A1RG34,ARGENX SE,78.88,78.88,78.88,78.88,0,15770
15,2022-07-01,A1SU34,ASSURANT INC,230.0,230.0,230.0,230.0,0,23000
16,2022-07-01,A1TH34,AUTOHOME INC,20.56,20.56,20.56,20.56,0,2050
21,2022-07-01,A2MC34,AMC ENTERT H,12.49,12.49,11.93,11.93,0,10930
23,2022-07-01,A2RR34,ARROWHEAD PH,23.7,23.7,23.7,23.7,0,4740
24,2022-07-01,A2XO34,AXON ENTERPR,27.26,27.26,27.26,27.26,0,2720
29,2022-07-01,ABBV34,ABBVIE,805.07,814.53,805.07,814.53,0,323740
51,2022-07-08,F1FI34,F5 INC,208.74,209.35,208.74,209.35,0,167350
56,2022-07-08,F2VR34,FIVERR INTL,10.15,10.15,10.15,10.15,0,1010
67,2022-07-15,BEGD39,TRTMSCI EAFE,41.67,41.67,41.67,41.67,0,33330
75,2022-07-15,BEWJ39,MSCI JAPAN,35.64,35.64,35.64,35.64,0,14250
79,2022-07-15,BFNX39,GX FINTECH,23.72,23.92,23.72,23.86,0,14300
83,2022-07-15,BGOV39,BKR US TREAS,42.9,42.9,42.9,42.9,0,4290
86,2022-07-15,BHER39,GX GAMES SPT,28.26,28.26,28.14,28.17,0,16910
97,2022-07-01,ABTT34,ABBOTT,144.06,146.02,144.06,146.02,0,102010
98,2022-07-01,ABUD34,AB INBEV,48.35,48.65,48.35,48.65,0,14560
125,2022-07-15,BIEV39,EUROPE ETF,45.04,45.04,45.04,45.04,0,18010
126,2022-07-15,BIGF39,GLOBAL INFRA,63.0,69.99,62.15,62.15,0,45330
132,2022-07-15,BILF39,LATIN AMER40,38.55,38.55,38.55,38.55,0,3850
175,2022-07-08,FLTC34,FLEETCOR TEC,290.44,291.12,290.44,291.12,0,145490
191,2022-07-15,BLPA39,GX MLP ETF,50.5,50.5,50.45,50.45,0,15140
192,2022-07-15,BLPX39,GX MLP EN IN,51.6,51.6,51.4,51.45,0,15440
201,2022-07-15,BMKS3,BIC MONARK,239.98,239.98,231.06,231.06,0,187520
257,2022-07-08,G2DD34,GODADDY INC,38.88,38.88,38.88,38.88,0,3880
259,2022-07-08,G2NT34,GENTEX CORP,37.91,37.91,37.91,37.91,0,3790
285,2022-07-01,ASML34,ASML HOLD,2420.0,2420.0,2357.5,2357.5,0,1925800
305,2022-07-01,B1CS34,BARCLAYS PLC,39.84,39.84,39.84,39.84,0,3980
306,2022-07-01,B1DX34,BECTON DICKI,266.39,266.39,266.39,266.39,0,26630
311,2022-07-15,BOTZ39,GX ROBOTC AI,27.63,27.75,27.63,27.75,0,16620
317,2022-07-15,BOXP34,BOSTON PROP,46.95,47.39,46.95,47.31,0,23590
330,2022-07-15,BPVE39,GX INFRA DEV,41.44,41.64,41.44,41.64,0,12470
331,2022-07-15,BQTC39,FT NASD100TC,42.19,42.19,42.19,42.19,0,12650
428,2022-07-15,BSDV39,GX SUPERDIVD,23.94,24.1,23.94,24.08,0,14420
429,2022-07-15,BSIL39,GX SILVER MN,25.86,25.89,25.65,25.89,0,18080
448,2022-07-08,H2TA34,HEALTHC TRUS,38.3,38.3,38.1,38.1,0,11460
449,2022-07-08,H2UB34,HUBSPOT INC,32.55,32.55,32.55,32.55,0,3250
470,2022-07-01,BCHQ39,GX MSCICHINA,31.41,31.53,31.41,31.53,0,12580
473,2022-07-01,BCPX39,GX COPPER MN,31.65,31.65,31.56,31.56,0,6320
478,2022-07-01,BDRI39,GX AEVEHICLE,38.0,38.0,37.8,37.8,0,7580
479,2022-07-01,BDVD39,GX SUPDIV US,51.59,52.23,51.59,52.23,0,10380
481,2022-07-01,BEDC39,GX TLMEDC DH,31.02,31.26,31.02,31.26,0,6220
496,2022-07-15,BSOC39,GX SOCIAL MD,21.76,21.98,21.76,21.98,0,13140
506,2022-07-15,BURA39,GX URANIUM,33.78,33.87,33.78,33.81,0,13520
520,2022-07-15,C1MG34,CHIPOTLE MEX,352.21,352.21,352.21,352.21,0,140880
522,2022-07-15,C1NS34,CELANESE COR,293.77,293.77,293.77,293.77,0,117500
545,2022-07-08,HONB34,HONEYWELL,917.0,917.0,917.0,917.0,0,366800
568,2022-07-01,BFNX39,GX FINTECH,22.92,23.0,22.92,23.0,0,9180
574,2022-07-01,BGWH39,COREDIVGROWT,51.65,51.65,51.65,51.65,0,5160
575,2022-07-01,BHER39,GX GAMES SPT,27.87,27.99,27.87,27.99,0,11170
580,2022-07-01,BIDU34,BAIDU INC,785.0,792.12,785.0,792.12,0,236920
582,2022-07-01,BIEI39,BKR 3 7 YRTR,53.9,53.9,53.9,53.9,0,5390
588,2022-07-01,BILB34,BILBAOVIZ,23.75,23.75,23.75,23.75,0,9500
625,2022-07-08,I1FF34,FLAVOR FLAGR,310.81,310.81,310.81,310.81,0,31080
627,2022-07-08,I1NC34,INCYTE CORP,212.3,212.3,212.3,212.3,0,191070
628,2022-07-08,I1QV34,IQVIA HOLDIN,292.9,292.9,290.29,290.29,0,87600
634,2022-07-08,IBMB34,IBM,742.5,742.5,742.5,742.5,0,222750
660,2022-07-01,BIWM39,RUSSELL 2000,45.09,45.09,45.09,45.09,0,9010
672,2022-07-01,BLBT39,GX LITHIUM B,48.15,48.15,47.5,47.5,0,14330
678,2022-07-01,BLPA39,GX MLP ETF,48.9,49.6,48.9,49.6,0,9850
679,2022-07-01,BLPX39,GX MLP EN IN,50.5,51.2,50.5,51.2,0,10170
680,2022-07-01,BLQD39,BKR IBOX IGC,59.64,59.64,59.64,59.64,0,23850
761,2022-07-01,BNDA39,MSCI INDIA,52.23,52.31,52.23,52.31,0,47010
772,2022-07-01,BOTZ39,GX ROBOTC AI,27.12,27.21,27.12,27.21,0,10860
787,2022-07-08,K1EL34,KELLOGG CO,192.8,192.8,192.8,192.8,0,19280
789,2022-07-08,K1LA34,KLA CORP,417.06,417.06,417.06,417.06,0,250230
834,2022-07-15,CRIN34,CARTERS INC,211.0,211.0,211.0,211.0,0,126600
854,2022-07-01,BPVE39,GX INFRA DEV,40.68,40.68,40.56,40.56,0,8120
856,2022-07-01,BQYL39,GX NASDAQ100,30.96,31.02,30.96,31.02,0,12390
928,2022-07-15,CTSH34,COGNIZANT,355.6,355.6,355.6,355.6,0,142240
952,2022-07-01,BSCZ39,BKR MS EAFE,36.12,36.12,36.12,36.12,0,3610
953,2022-07-01,BSDV39,GX SUPERDIVD,24.39,24.39,24.39,24.39,0,4870
955,2022-07-01,BSHY39,BKR 1 3 YRTR,56.43,56.43,54.12,54.12,0,11050
956,2022-07-01,BSIL39,GX SILVER MN,27.39,28.11,26.87,28.11,0,13730
979,2022-07-15,D1HI34,DR HORTON IN,396.67,396.67,396.67,396.67,0,158660
980,2022-07-15,D1LR34,DIGITAL REAL,163.2,165.12,163.2,165.12,0,32830
983,2022-07-15,D1RE34,DUKE REALTY,301.0,301.0,301.0,301.0,0,60200
987,2022-07-15,D2OC34,DOXIMITY INC,37.38,37.38,37.38,37.38,0,3730
1019,2022-07-08,M1PC34,MARATHON PET,446.85,446.85,446.85,446.85,0,223420
1023,2022-07-01,BSOC39,GX SOCIAL MD,22.08,22.12,22.08,22.12,0,8840
1031,2022-07-01,BTLT39,BKR 20YR TRS,41.46,41.46,40.8,40.8,0,12300
1034,2022-07-01,BURT39,BKR MS WLD,38.0,38.0,38.0,38.0,0,3800
1048,2022-07-01,C1MA34,COMERICA INC,195.0,195.0,195.0,195.0,0,39000
1053,2022-07-01,C1OU34,COUPA SOFTWA,10.54,10.54,10.54,10.54,0,2100
1054,2022-07-15,DDNB34,DUPONT N INC,294.35,294.35,294.35,294.35,0,29430
1057,2022-07-15,DEOP34,DIAGEO PL,944.54,946.58,944.54,946.58,0,283770
1066,2022-07-15,DHER34,DANAHER CORP,344.48,344.48,343.74,343.74,0,309440
1087,2022-07-01,C2GN34,COGNEX CORP,29.16,29.16,29.16,29.16,0,2910
1116,2022-07-08,M1TB34,MT BANK COR,179.51,209.0,179.51,209.0,0,38850
1118,2022-07-08,M2AS34,MASIMO CORP,24.24,24.24,24.24,24.24,0,9690
1119,2022-07-08,M2KS34,MKS INSTRUME,29.25,29.25,29.25,29.25,0,2920
1121,2022-07-08,M2ST34,MICROSTRATEG,15.99,16.29,15.99,16.29,0,8080
1135,2022-07-08,MCOR34,MOODYS CORP,375.0,375.0,375.0,375.0,0,112500
1185,2022-07-15,E1SS34,ESSEX PROPER,142.68,143.64,142.68,143.64,0,28630
1188,2022-07-15,E2NP34,ENPHASE ENER,41.67,41.67,41.67,41.67,0,33330
1189,2022-07-15,E2NT34,ENTEGRIS INC,28.66,28.66,28.66,28.66,0,2860
1190,2022-07-15,E2TS34,ETSY INC,29.92,29.92,29.92,29.92,0,17950
1254,2022-07-01,COTY34,COTY INC,20.65,20.65,20.65,20.65,0,2060
1269,2022-07-01,CRDA34,CREDIT ACCEP,261.0,261.0,261.0,261.0,0,52200
1330,2022-07-08,N1BI34,NEUROCRINE B,25.71,25.71,25.23,25.23,0,17900
1378,2022-07-21,W1AB34,WABTEC CORP,235.68,236.61,235.68,236.61,0,94480
1380,2022-07-21,W1EL34,WELLTOWER IN,219.15,222.64,219.15,222.64,0,199610
