,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
2,2022-07-01,A1CR34,AMCOR PLC,66.25,66.25,66.25,66.25,1690,11196250,0.0,-0.0
3,2022-07-01,A1EE34,AMEREN CORP,245.0,245.0,245.0,245.0,10,392000,0.0,-0.0
8,2022-07-01,A1LN34,ALNYLAM PHAR,39.02,39.02,39.02,39.02,100,390200,0.0,-0.0
10,2022-07-01,A1MP34,AMERIPRISE F,315.95,315.95,315.95,315.95,20,726680,0.0,-0.0
12,2022-07-01,A1NE34,ARISTA NETWO,123.22,123.22,123.22,123.22,80,1072010,0.0,-0.0
19,2022-07-01,A1VB34,AVALONBAY CO,259.06,259.06,259.06,259.06,220,5699320,0.0,-0.0
22,2022-07-01,A2RE34,ARES MANAGEM,31.38,31.38,31.38,31.38,580,1842000,0.0,-0.0
55,2022-07-08,F1TN34,FORTINET INC,164.12,164.12,164.12,164.12,880,14442560,0.0,-0.0
66,2022-07-15,BEFV39,MSCIEAFEVALU,37.62,37.62,37.62,37.62,50880,191433130,0.0,-0.0
69,2022-07-15,BEMV39,MSCIEMMRKMI,48.4,48.4,48.4,48.4,20000,96800000,0.0,-0.0
72,2022-07-15,BEWC39,MSCI CANADA,43.46,43.46,43.46,43.46,4090,17796870,0.0,-0.0
76,2022-07-15,BEWU39,MSCI UK,52.26,52.26,52.26,52.26,1030,5398450,0.0,-0.0
77,2022-07-15,BEWW39,MSCI MEXICO,61.28,61.28,61.28,61.28,3410,20920990,0.0,-0.0
80,2022-07-15,BFXI39,CHINALARGECA,33.54,33.54,33.54,33.54,63360,212539620,0.0,-0.0
84,2022-07-15,BGRT39,GLOBAL REIT,43.63,43.63,43.63,43.63,70,335950,0.0,-0.0
91,2022-07-15,BIEF39,COREMSCIEAFE,39.0,39.0,39.0,39.0,10,62400,0.0,-0.0
103,2022-07-01,AESB3,AES BRASIL,10.7,10.78,10.57,10.7,1187500,1267947100,0.0,1.9480519480519431
120,2022-07-01,ALPA3,ALPARGATAS,16.81,16.81,16.81,16.81,3600,6050500,0.0,-0.0
128,2022-07-15,BIIB34,BIOGEN,195.13,196.27,194.37,195.13,1010,19884740,0.0,0.9680542110358181
137,2022-07-15,BITO39,CORE SP TOTA,46.15,46.15,46.15,46.15,4460,20605970,0.0,-0.0
140,2022-07-15,BIVW39,SP500GROWTH,42.2,42.2,42.2,42.2,1010,4262200,0.0,-0.0
141,2022-07-15,BIWF39,RUSSEL1000GR,48.89,48.89,48.89,48.89,320,1569360,0.0,-0.0
142,2022-07-15,BIWM39,RUSSELL 2000,46.26,46.26,46.26,46.26,10000,46260000,0.0,-0.0
145,2022-07-15,BIYE39,BKR US ENER,65.28,65.28,65.28,65.28,5000,32640000,0.0,-0.0
195,2022-07-15,BLUT4,B TECH EQI,0.5,0.52,0.49,0.5,641000,32168900,0.0,5.769230769230771
