,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
18351,2022-07-20,ESPA3,ESPACOLASER,2.33,2.93,2.33,2.93,10733100,-2147483648,25.7510729613734,20.47781569965871
28654,2022-07-15,ALPK3,ESTAPAR,1.77,2.35,1.77,2.2,402000,85331100,24.29378531073447,24.680851063829788
19113,2022-07-06,IFCM3,INFRACOMM,4.8,5.94,4.77,5.94,1820700,997060500,23.750000000000004,19.696969696969713
1929,2022-07-08,PPLA11,PPLA,4.31,5.49,4.31,5.3,230,119810,22.96983758700697,21.493624772313304
5328,2022-07-18,ALPK3,ESTAPAR,2.3,3.22,2.27,2.8,708500,197883500,21.739130434782616,29.503105590062116
914,2022-07-15,CSRN3,COSERN,17.52,21.3,17.52,21.3,1200,2242100,21.575342465753433,17.746478873239447
13963,2022-07-05,M1UF34,MITSUBISHI U,27.51,33.11,27.51,33.11,520,1543210,20.356234096692095,16.913319238900627
5547,2022-07-04,ALPK3,ESTAPAR,1.42,2.01,1.42,1.7,680400,118653700,19.718309859154925,29.35323383084577
2544,2022-07-22,BEGE39,INC ESG AWAR,36.27,43.38,36.27,43.38,390,1690610,19.602977667493793,16.390041493775932
21099,2022-07-06,SEER3,SER EDUCA,5.86,6.95,5.84,6.91,1687600,1107789400,17.918088737201355,15.971223021582738
32829,2022-07-28,CHME34,CME GROUP,218.88,258.98,218.88,258.03,460,11884190,17.886513157894733,15.483821144489928
11863,2022-07-05,C2OI34,COINBASEGLOB,10.2,11.95,10.01,11.95,13300,14852020,17.156862745098046,16.234309623430953
11019,2022-07-12,BLUT3,B TECH EQI,0.94,1.1,0.92,1.1,464700,46676700,17.021276595744705,16.36363636363637
14137,2022-07-12,MNDL3,MUNDIAL,23.97,27.99,23.97,27.99,1900,4982900,16.77096370463078,14.36227224008575
3112,2022-07-08,TEND3,TENDA,4.95,5.88,4.92,5.78,8436000,-2147483648,16.767676767676765,16.326530612244895
15317,2022-07-05,SNSY3,SANSUY,6.05,7.0,6.05,7.0,900,620500,15.70247933884299,13.571428571428578
20499,2022-07-06,PGMN3,PAGUE MENOS,4.22,4.96,4.19,4.88,2917200,1352483800,15.63981042654028,15.524193548387089
13582,2022-07-05,INBR31,INTER CO,14.01,16.29,13.7,16.2,4393840,-2147483648,15.631691648822276,15.899324739103749
21633,2022-07-20,U2ST34,UNITY SOFTWR,9.69,11.3,9.69,11.18,6470,7149050,15.376676986584116,14.247787610619477
19615,2022-07-20,LWSA3,LOCAWEB,5.81,6.83,5.8,6.69,32610500,-2147483648,15.146299483648896,15.080527086383611
